EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	20:46:00	0	0.1000	0.9240130017586481	0.3228047490119934	0.8823	0.743	0.8067	0.34583520889282227	0.8499	0.7033	0.7697
1	20:51:30	0	0.1000	0.3906297972688574	0.2312430888414383	0.8817	0.796	0.8367	0.26170095801353455	0.8555	0.7799	0.816
2	20:56:55	0	0.1000	0.2929313715528833	0.19369807839393616	0.9141	0.7883	0.8466	0.21624353528022766	0.8862	0.7773	0.8282
3	21:02:24	0	0.1000	0.2506889109202936	0.17677484452724457	0.9258	0.7324	0.8178	0.1968444138765335	0.9067	0.7414	0.8158
4	21:07:45	1	0.1000	0.2193479604606469	0.150861918926239	0.8997	0.8373	0.8674	0.16723304986953735	0.8678	0.8158	0.841
5	21:13:14	0	0.1000	0.19850470867619122	0.1433752030134201	0.9213	0.8219	0.8688	0.16344398260116577	0.8835	0.8282	0.855
6	21:18:37	0	0.1000	0.1849394905825643	0.13576531410217285	0.8962	0.8643	0.88	0.15905410051345825	0.8721	0.8402	0.8559
7	21:24:04	0	0.1000	0.16968609531222217	0.1304284930229187	0.9333	0.8489	0.8891	0.153021901845932	0.8823	0.838	0.8596
8	21:29:28	0	0.1000	0.1554153650500807	0.1269051730632782	0.8794	0.8845	0.8819	0.1435091346502304	0.8484	0.8484	0.8484
9	21:34:49	1	0.1000	0.14869261594209918	0.12334039807319641	0.9364	0.8219	0.8754	0.15000887215137482	0.8997	0.8102	0.8526
10	21:40:08	2	0.1000	0.14507577478566452	0.1151503175497055	0.938	0.845	0.8891	0.13529805839061737	0.8908	0.8295	0.8591
11	21:45:35	3	0.1000	0.13822278556148274	0.12810489535331726	0.9449	0.8412	0.89	0.14344187080860138	0.9107	0.8112	0.8581
12	21:51:02	0	0.1000	0.1317118458613333	0.12397172302007675	0.9569	0.8556	0.9034	0.14805968105793	0.9157	0.8044	0.8564
13	21:56:26	0	0.1000	0.12590020220500953	0.13421344757080078	0.9375	0.8373	0.8846	0.16130481660366058	0.8999	0.8115	0.8534
14	22:01:47	1	0.1000	0.12247982249539754	0.11122750490903854	0.9269	0.8903	0.9082	0.14074279367923737	0.8809	0.8582	0.8694
15	22:07:11	0	0.1000	0.12055442491575469	0.11089739203453064	0.9426	0.8845	0.9126	0.13659211993217468	0.8867	0.8474	0.8666
16	22:12:39	0	0.1000	0.11543786689559292	0.11562497913837433	0.9428	0.8884	0.9148	0.1381138563156128	0.8771	0.8608	0.8689
