EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	16:31:31	0	0.1000	1.4995889795348236	1.0659602880477905	0.8462	0.1803	0.2973	1.2164071798324585	0.8463	0.1799	0.2967
1	16:33:31	0	0.1000	0.9559311858221176	0.7996999621391296	0.3795	0.3989	0.389	0.7769184708595276	0.4215	0.4211	0.4213
2	16:35:30	0	0.1000	0.8359420764769054	0.7235991358757019	0.8288	0.3352	0.4773	0.85683673620224	0.8504	0.3171	0.4619
3	16:37:27	0	0.1000	0.7958277509704945	0.48555129766464233	0.7267	0.4262	0.5373	0.5166968107223511	0.7393	0.4261	0.5406
4	16:39:24	0	0.1000	0.7665819475234906	0.5568659901618958	0.7508	0.4281	0.5453	0.643650472164154	0.7502	0.4211	0.5394
5	16:41:24	0	0.1000	0.7450233150358014	0.6102397441864014	0.7944	0.4153	0.5454	0.7317430973052979	0.7832	0.4176	0.5447
6	16:43:23	0	0.1000	0.7126563444208138	0.6620728373527527	0.8379	0.3862	0.5287	0.8029149174690247	0.8204	0.3834	0.5226
7	16:45:18	1	0.1000	0.7146832704431464	0.7625927329063416	0.8315	0.4226	0.5604	0.9783586263656616	0.7795	0.4085	0.5361
8	16:47:19	0	0.1000	0.6889647076314582	0.4994761347770691	0.7954	0.439	0.5657	0.5888243913650513	0.7491	0.4261	0.5432
9	16:49:18	0	0.1000	0.6922388561163801	0.567707896232605	0.795	0.4663	0.5878	0.7074232697486877	0.7545	0.4462	0.5608
10	16:51:17	0	0.1000	0.6715353048906219	0.5002074837684631	0.7903	0.4736	0.5923	0.6169096231460571	0.7448	0.4533	0.5636
11	16:53:16	0	0.1000	0.654233637408961	0.4973205327987671	0.8546	0.439	0.58	0.6191617846488953	0.8187	0.4312	0.5649
12	16:55:11	1	0.1000	0.6547078849086233	0.6236199140548706	0.8057	0.4608	0.5863	0.7866169214248657	0.7817	0.4372	0.5608
13	16:57:06	2	0.1000	0.6422452352546925	0.4433903992176056	0.6659	0.5301	0.5903	0.499206006526947	0.6749	0.4965	0.5721
14	16:59:05	3	0.1000	0.6290073961544997	0.579319179058075	0.8512	0.4481	0.5871	0.7438918948173523	0.8089	0.4317	0.563
15	17:01:00	0	0.0500	0.49884715970952803	0.5401825904846191	0.5055	0.5847	0.5422	0.5478003621101379	0.5184	0.5729	0.5443
