EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	05:19:18	0	0.1000	1.102423757960866	0.4133746922016144	0.7728	0.6608	0.7124	0.37953147292137146	0.8251	0.6938	0.7538
1	05:28:27	0	0.1000	0.4044338892760921	0.30881378054618835	0.8548	0.6915	0.7645	0.2766466438770294	0.8853	0.7248	0.7971
2	05:37:36	0	0.1000	0.31049434059808495	0.31296902894973755	0.6877	0.7903	0.7354	0.27331334352493286	0.7496	0.822	0.7841
3	05:46:38	1	0.1000	0.24713690637133026	0.23743772506713867	0.8188	0.8035	0.8111	0.21286453306674957	0.8362	0.8305	0.8333
4	05:55:44	0	0.1000	0.22266454142961134	0.20765526592731476	0.8301	0.7991	0.8143	0.18857115507125854	0.8584	0.822	0.8398
5	06:04:49	0	0.1000	0.19627027719134665	0.19575847685337067	0.8791	0.7662	0.8188	0.1848631650209427	0.8973	0.8005	0.8461
6	06:13:57	0	0.1000	0.18643173875526575	0.18419431149959564	0.8002	0.831	0.8153	0.1675475388765335	0.8305	0.8546	0.8424
7	06:22:57	1	0.1000	0.17151669231914918	0.17915113270282745	0.8307	0.8189	0.8248	0.16647368669509888	0.8521	0.849	0.8505
8	06:32:09	0	0.1000	0.15647623115126724	0.16864152252674103	0.857	0.8156	0.8358	0.165387824177742	0.8767	0.8461	0.8611
9	06:41:17	0	0.1000	0.1552532033794321	0.15712003409862518	0.8426	0.8112	0.8266	0.1450786590576172	0.8658	0.8516	0.8586
10	06:50:19	1	0.1000	0.14093871713326922	0.16374309360980988	0.8834	0.798	0.8385	0.15500229597091675	0.9025	0.8213	0.86
11	06:59:23	0	0.1000	0.13689852531322025	0.16032928228378296	0.7941	0.8342	0.8137	0.14092178642749786	0.8421	0.8575	0.8497
12	07:08:23	1	0.1000	0.13373872283709895	0.15988416969776154	0.8708	0.7914	0.8292	0.1473587155342102	0.8898	0.8239	0.8556
13	07:17:21	2	0.1000	0.1276262582142525	0.15678095817565918	0.8955	0.7717	0.829	0.14616724848747253	0.9141	0.8184	0.8636
14	07:26:17	3	0.1000	0.12109425059026312	0.1645178198814392	0.8863	0.787	0.8337	0.152310311794281	0.9135	0.8295	0.8695
15	07:35:14	0	0.0500	0.10590785316725883	0.14971718192100525	0.8414	0.8386	0.84	0.13602593541145325	0.8675	0.8689	0.8682
16	07:44:20	0	0.0500	0.10281067480145328	0.1432327777147293	0.8364	0.8419	0.8391	0.12847988307476044	0.8692	0.8709	0.87
17	07:53:19	1	0.0500	0.10083398652674636	0.14373527467250824	0.8308	0.8518	0.8412	0.1338040828704834	0.8699	0.8784	0.8741
18	08:02:26	0	0.0500	0.09303970527499447	0.14773531258106232	0.8894	0.8211	0.8539	0.13423411548137665	0.911	0.8406	0.8744
19	08:11:29	0	0.0500	0.09594945172616742	0.145494282245636	0.8466	0.8419	0.8442	0.1275303065776825	0.873	0.8693	0.8711
20	08:20:41	1	0.0500	0.09205212125646159	0.1486867368221283	0.8493	0.8353	0.8422	0.13352932035923004	0.8716	0.8761	0.8738
21	08:29:51	2	0.0500	0.09500209255656861	0.14330410957336426	0.8101	0.8474	0.8283	0.13141824305057526	0.8646	0.8787	0.8716
22	08:38:54	3	0.0500	0.08640579542956756	0.15726575255393982	0.8058	0.8606	0.8323	0.1423063427209854	0.8483	0.8882	0.8678
23	08:47:55	0	0.0250	0.085607623845405	0.13770204782485962	0.8661	0.831	0.8482	0.121771439909935	0.8858	0.8699	0.8778
24	08:56:54	1	0.0250	0.08255016253025212	0.14178729057312012	0.8653	0.8321	0.8484	0.12751518189907074	0.8941	0.8699	0.8818
25	09:05:53	2	0.0250	0.08317212087356231	0.1411879062652588	0.8321	0.8595	0.8456	0.12831981480121613	0.8622	0.8872	0.8745
26	09:14:51	3	0.0250	0.07653851814318911	0.13917113840579987	0.8496	0.843	0.8463	0.12552760541439056	0.8818	0.8777	0.8797
27	09:23:53	0	0.0125	0.07611269640854035	0.13945604860782623	0.8369	0.8562	0.8464	0.12819786369800568	0.8721	0.88	0.876
28	09:32:57	1	0.0125	0.07538924192963022	0.14051176607608795	0.8461	0.8507	0.8484	0.12594807147979736	0.8873	0.8754	0.8813
29	09:42:02	2	0.0125	0.07371769858526149	0.13908307254314423	0.8513	0.8419	0.8466	0.12426441162824631	0.8817	0.8751	0.8784
30	09:51:07	3	0.0125	0.0760918684934374	0.13864484429359436	0.8527	0.8452	0.8489	0.12368364632129669	0.8853	0.8781	0.8817
31	10:00:13	0	0.0063	0.07510079446106628	0.13805408775806427	0.8465	0.8474	0.8469	0.1228623017668724	0.8826	0.8803	0.8814
