EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	18:45:08	0	0.1000	1.5648382634149691	0.7669293880462646	0.7205	0.2214	0.3387	0.861338198184967	0.7235	0.2025	0.3164
1	18:50:29	0	0.1000	0.9613825936686783	0.8572039604187012	0.8	0.2519	0.3832	0.9794269800186157	0.8302	0.2457	0.3792
2	18:55:50	0	0.1000	0.8507724922685239	0.6562813520431519	0.7033	0.3664	0.4818	0.7745347023010254	0.7605	0.3543	0.4834
3	19:01:10	0	0.1000	0.7815033224615402	0.6656138300895691	0.8077	0.3607	0.4987	0.7942394614219666	0.8149	0.3563	0.4958
4	19:06:34	0	0.1000	0.7452609270097927	0.48683449625968933	0.6506	0.4122	0.5047	0.5138258934020996	0.719	0.4347	0.5418
5	19:11:57	0	0.1000	0.7141403295756588	0.7840995192527771	0.8407	0.3626	0.5067	0.9681596159934998	0.8476	0.3492	0.4946
6	19:17:18	0	0.1000	0.694921481350357	0.8380246162414551	0.7803	0.3931	0.5228	1.0616297721862793	0.819	0.4025	0.5397
7	19:22:44	0	0.1000	0.6851681978899226	0.607677161693573	0.7536	0.4027	0.5249	0.7703816294670105	0.8025	0.4186	0.5502
8	19:28:11	0	0.1000	0.6665309893356763	0.4313846528530121	0.7954	0.3931	0.5262	0.4812900424003601	0.7688	0.3693	0.4989
9	19:33:37	0	0.1000	0.6734231985092013	0.46702709794044495	0.6829	0.4561	0.5469	0.49814510345458984	0.7298	0.4668	0.5694
10	19:39:06	0	0.1000	0.6553772470024731	0.4634723365306854	0.7113	0.4561	0.5558	0.5237821936607361	0.7519	0.4568	0.5683
11	19:44:34	0	0.1000	0.6351418351046084	0.6309228539466858	0.7484	0.437	0.5518	0.7859039306640625	0.7998	0.4337	0.5624
12	19:49:59	1	0.1000	0.634739624500575	0.6741976737976074	0.4361	0.5534	0.4878	0.6696612238883972	0.4599	0.5794	0.5128
13	19:55:22	2	0.1000	0.627037853809538	0.7934988141059875	0.3357	0.5382	0.4135	0.7789018154144287	0.3723	0.5618	0.4478
14	20:00:42	3	0.1000	0.6279707455758934	0.8473073840141296	0.2892	0.5878	0.3877	0.8221848011016846	0.3415	0.6543	0.4488
