EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	14:58:10	0	0.1000	0.8998659660060703	0.32249441742897034	0.7759	0.7555	0.7656	0.3677733242511749	0.7865	0.746	0.7657
1	15:03:47	0	0.1000	0.404791333681496	0.21101956069469452	0.8439	0.7828	0.8122	0.2550053894519806	0.8491	0.7871	0.8169
2	15:09:21	0	0.1000	0.3073802531512927	0.16881506145000458	0.8513	0.8111	0.8307	0.21330776810646057	0.8667	0.8223	0.8439
3	15:15:01	0	0.1000	0.25604626379591827	0.15127192437648773	0.8955	0.8269	0.8598	0.19307361543178558	0.8874	0.8122	0.8481
4	15:20:39	0	0.1000	0.22480719283324363	0.1387690156698227	0.8743	0.8468	0.8603	0.17866620421409607	0.8599	0.8308	0.8451
5	15:26:16	0	0.1000	0.2049893205956232	0.13788890838623047	0.9435	0.7366	0.8273	0.17245696485042572	0.931	0.7473	0.8291
6	15:31:44	1	0.1000	0.19036817440885734	0.1311211735010147	0.9014	0.8153	0.8562	0.16273745894432068	0.8829	0.8037	0.8414
7	15:37:15	2	0.1000	0.17384382049079164	0.14109675586223602	0.9368	0.7618	0.8403	0.18213723599910736	0.9312	0.7454	0.828
8	15:42:44	3	0.1000	0.16572852528487628	0.12734642624855042	0.9055	0.8447	0.874	0.16383543610572815	0.8756	0.8265	0.8503
9	15:48:19	0	0.1000	0.15244193798633704	0.1098613291978836	0.9047	0.8468	0.8748	0.14350539445877075	0.8879	0.8415	0.8641
10	15:53:56	0	0.1000	0.14820461801195842	0.1092011034488678	0.9047	0.8468	0.8748	0.13588614761829376	0.8835	0.8477	0.8652
11	15:59:34	1	0.1000	0.14132362948448368	0.10946349799633026	0.9026	0.8363	0.8682	0.14411427080631256	0.8781	0.8291	0.8529
12	16:05:04	2	0.1000	0.13901414431956605	0.1005696952342987	0.9086	0.8447	0.8755	0.13992469012737274	0.8977	0.8327	0.864
13	16:10:41	0	0.1000	0.12543892030104947	0.11124836653470993	0.9118	0.8248	0.8661	0.1532703936100006	0.9045	0.8311	0.8662
14	16:16:10	1	0.1000	0.1255413806815257	0.10852446407079697	0.8592	0.8961	0.8773	0.13574407994747162	0.832	0.8722	0.8516
15	16:21:50	0	0.1000	0.11773764803351654	0.11050758510828018	0.8612	0.8856	0.8732	0.147527813911438	0.832	0.8829	0.8567
16	16:27:20	1	0.1000	0.12195079293466478	0.10146524012088776	0.9075	0.8541	0.88	0.13376988470554352	0.8932	0.8484	0.8702
17	16:32:57	0	0.1000	0.11309444836448866	0.09521447867155075	0.8996	0.8741	0.8867	0.13078445196151733	0.8821	0.8608	0.8713
18	16:38:34	0	0.1000	0.11351990109249217	0.09880218654870987	0.8669	0.9024	0.8843	0.1381904035806656	0.8544	0.8859	0.8699
19	16:44:04	1	0.1000	0.10930403467567487	0.09510323405265808	0.8822	0.8877	0.8849	0.13882358372211456	0.885	0.8781	0.8815
20	16:49:36	2	0.1000	0.10286438172097272	0.0922594666481018	0.9055	0.8846	0.8949	0.1372530460357666	0.8853	0.8728	0.879
21	16:55:15	0	0.1000	0.10527128796944689	0.08887805789709091	0.9163	0.873	0.8941	0.13027732074260712	0.9004	0.8582	0.8788
22	17:00:46	1	0.1000	0.09921652222827831	0.09131374955177307	0.885	0.9045	0.8946	0.13458992540836334	0.8705	0.8836	0.877
23	17:06:16	2	0.1000	0.09816478961378496	0.09578682482242584	0.9156	0.8762	0.8955	0.13770300149917603	0.8919	0.8663	0.8789
24	17:11:54	0	0.1000	0.09309532508437007	0.08809740096330643	0.9126	0.8982	0.9053	0.12632817029953003	0.882	0.8774	0.8797
25	17:17:28	0	0.1000	0.09414743877024766	0.09501136094331741	0.8867	0.9035	0.895	0.12923264503479004	0.8662	0.8846	0.8753
