EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	10:20:09	0	0.1000	3.690113889425993	2.3332080841064453	0.0	0.0	0.0	2.364520311355591	0.0	0.0	0.0
1	10:20:49	0	0.1000	2.072686064057052	1.8963050842285156	1.0	0.1887	0.3175	1.9094951152801514	0.8966	0.1376	0.2386
2	10:21:35	0	0.1000	1.583355998620391	1.2674652338027954	1.0	0.2453	0.394	1.2951611280441284	0.8043	0.1958	0.3149
3	10:22:15	0	0.1000	1.370809457823634	0.7999926805496216	1.0	0.283	0.4412	0.8140583634376526	0.7451	0.2011	0.3167
4	10:22:58	0	0.1000	1.246356201544404	1.4376987218856812	1.0	0.2453	0.394	1.4579355716705322	0.7895	0.1587	0.2643
5	10:23:32	1	0.1000	1.1389064008370042	0.7199472784996033	0.7143	0.283	0.4054	0.7117013931274414	0.6912	0.2487	0.3658
6	10:24:07	2	0.1000	1.0760989781469106	1.4176549911499023	1.0	0.2264	0.3692	1.4257853031158447	0.7692	0.1587	0.2631
7	10:24:45	3	0.1000	1.0900669815018773	0.8657278418540955	1.0	0.2264	0.3692	0.8776993751525879	0.8864	0.2063	0.3347
8	10:25:19	0	0.0500	0.7373975140973925	0.7919209003448486	1.0	0.2453	0.394	0.8109217286109924	0.8824	0.2381	0.375
9	10:25:57	1	0.0500	0.7535533845424652	0.6622760891914368	0.8824	0.283	0.4286	0.6701281070709229	0.7324	0.2751	0.4
10	10:26:31	2	0.0500	0.7046832224354148	0.629429817199707	0.9	0.3396	0.4931	0.6581675410270691	0.7561	0.328	0.4575
11	10:27:12	0	0.0500	0.6861844521015883	0.8485326170921326	1.0	0.2642	0.418	0.8947378396987915	0.8852	0.2857	0.432
12	10:27:50	1	0.0500	0.6983943058177828	0.7044433951377869	0.4255	0.3774	0.4	0.6585896015167236	0.4467	0.3545	0.3953
13	10:28:24	2	0.0500	0.6801251335069537	0.6467680931091309	0.9	0.3396	0.4931	0.673660159111023	0.8493	0.328	0.4732
14	10:29:08	3	0.0500	0.6477705340832471	0.7682462930679321	0.9	0.3396	0.4931	0.804076075553894	0.8228	0.3439	0.4851
15	10:29:48	0	0.0250	0.5779111010953784	0.5087540745735168	0.9	0.3396	0.4931	0.5361006259918213	0.8375	0.3545	0.4981
16	10:30:32	1	0.0250	0.5649232517927885	0.5776059627532959	0.9048	0.3585	0.5135	0.5996728539466858	0.8333	0.3704	0.5128
17	10:31:12	0	0.0250	0.5785370439291	0.572290301322937	0.5429	0.3585	0.4318	0.573373019695282	0.5246	0.3386	0.4116
18	10:31:47	1	0.0250	0.5446916550397873	0.5749054551124573	0.5455	0.4528	0.4948	0.5695006251335144	0.5662	0.4074	0.4738
19	10:32:25	2	0.0250	0.5542227199301124	0.5475995540618896	0.95	0.3585	0.5206	0.5637439489364624	0.8553	0.3439	0.4906
20	10:33:05	0	0.0250	0.5409515026956797	0.5333138704299927	0.6429	0.3396	0.4444	0.5327686667442322	0.7234	0.3598	0.4806
21	10:33:43	1	0.0250	0.5375365782529116	0.5507743954658508	0.7692	0.3774	0.5064	0.5771915912628174	0.7979	0.3968	0.53
22	10:34:17	2	0.0250	0.5148192957043648	0.5333078503608704	0.8947	0.3208	0.4723	0.572914183139801	0.8608	0.3598	0.5075
23	10:34:55	3	0.0250	0.5238782443106175	0.5245505571365356	0.9	0.3396	0.4931	0.580133318901062	0.8608	0.3598	0.5075
24	10:35:30	0	0.0125	0.49936830773949625	0.5018302202224731	0.8696	0.3774	0.5264	0.5268368124961853	0.8452	0.3757	0.5202
25	10:36:10	0	0.0125	0.4916937271133065	0.5202209949493408	0.9474	0.3396	0.5	0.5561326146125793	0.8519	0.3651	0.5111
26	10:36:48	1	0.0125	0.4891389346681535	0.5116901993751526	0.9474	0.3396	0.5	0.5482603311538696	0.8608	0.3598	0.5075
