EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	12:08:55	0	0.1000	1.5513643449552414	0.8188840746879578	0.7364	0.3327	0.4583	1.031337022781372	0.729	0.2663	0.3901
1	12:13:34	0	0.1000	0.868635220101258	0.8214506506919861	0.7796	0.4151	0.5417	1.0836310386657715	0.7951	0.3608	0.4964
2	12:18:14	0	0.1000	0.7229932301703569	2.330435037612915	0.2035	0.6725	0.3125	2.360285520553589	0.2218	0.7161	0.3387
3	12:22:53	1	0.1000	0.670635208196619	0.4486100375652313	0.6816	0.5587	0.6141	0.4901808500289917	0.6345	0.4764	0.5442
4	12:27:33	0	0.1000	0.6186243167395706	0.6593883633613586	0.4437	0.5797	0.5027	0.6703870892524719	0.4421	0.5427	0.4873
5	12:32:08	1	0.1000	0.6122407453692981	0.42872196435928345	0.698	0.5989	0.6447	0.480226069688797	0.6469	0.5322	0.584
6	12:36:49	0	0.1000	0.5788621937466658	0.35699841380119324	0.8379	0.5342	0.6524	0.43003523349761963	0.8053	0.4573	0.5833
7	12:41:34	0	0.1000	0.5574667932048102	0.43686676025390625	0.8245	0.5184	0.6366	0.6027469038963318	0.8011	0.4533	0.579
8	12:46:10	1	0.1000	0.5553811530885228	0.46800824999809265	0.8412	0.5289	0.6495	0.6412461996078491	0.8031	0.4633	0.5876
9	12:50:45	2	0.1000	0.5251351924477056	0.6406148672103882	0.4142	0.634	0.5011	0.6600496172904968	0.4019	0.607	0.4836
10	12:55:23	3	0.1000	0.5413058159183195	0.36746442317962646	0.8706	0.5184	0.6498	0.48866501450538635	0.8073	0.4442	0.5731
11	12:59:57	0	0.0500	0.40569576347054404	0.3357275426387787	0.779	0.5989	0.6772	0.3970816433429718	0.7346	0.5146	0.6052
12	13:04:38	0	0.0500	0.3948532750440635	0.46256086230278015	0.5697	0.6445	0.6048	0.4952312707901001	0.5444	0.5819	0.5625
13	13:09:13	1	0.0500	0.38823076367603443	0.32110312581062317	0.8103	0.5762	0.6735	0.3904394805431366	0.767	0.4945	0.6013
14	13:13:51	2	0.0500	0.3816882971233175	0.39512816071510315	0.8603	0.5394	0.6631	0.5665162205696106	0.8045	0.4653	0.5896
15	13:18:25	3	0.0500	0.38091264975724054	0.3201015293598175	0.7972	0.606	0.6886	0.3852693438529968	0.7498	0.5136	0.6096
16	13:23:05	0	0.0500	0.37718000032139065	0.3041558563709259	0.8421	0.5884	0.6928	0.39046230912208557	0.7926	0.4859	0.6025
17	13:27:50	0	0.0500	0.38113818631064084	0.31677988171577454	0.8081	0.5972	0.6868	0.37966442108154297	0.7686	0.509	0.6124
18	13:32:25	1	0.0500	0.36949201151540956	0.33411046862602234	0.7773	0.6357	0.6994	0.38774144649505615	0.7017	0.5342	0.6066
19	13:37:05	0	0.0500	0.36719390789342465	0.31507137417793274	0.7968	0.6182	0.6962	0.3934975862503052	0.7537	0.509	0.6076
20	13:41:44	1	0.0500	0.3652157249675139	0.3006157875061035	0.8723	0.5744	0.6927	0.39413920044898987	0.8293	0.4859	0.6128
21	13:46:19	2	0.0500	0.3623323960966367	0.3010994791984558	0.8345	0.6007	0.6986	0.37535420060157776	0.775	0.5106	0.6156
22	13:50:54	3	0.0500	0.34995004920387446	0.30999618768692017	0.8005	0.6112	0.6932	0.38407421112060547	0.7498	0.5271	0.619
23	13:55:30	0	0.0250	0.33135796397436473	0.29525548219680786	0.8877	0.5814	0.7026	0.38751405477523804	0.8248	0.4849	0.6107
24	14:00:14	0	0.0250	0.32494528705174436	0.30046913027763367	0.8126	0.6077	0.6954	0.36732882261276245	0.7738	0.5261	0.6263
25	14:04:49	1	0.0250	0.32518307586911344	0.2943788766860962	0.8511	0.6007	0.7043	0.3927418291568756	0.7951	0.501	0.6147
26	14:09:31	0	0.0250	0.32479392230435644	0.3042801320552826	0.8639	0.5779	0.6925	0.40623030066490173	0.8251	0.4884	0.6136
27	14:14:10	1	0.0250	0.318960786991816	0.2948956787586212	0.8199	0.6217	0.7072	0.3693268299102783	0.7736	0.5236	0.6245
28	14:18:52	0	0.0250	0.3193064315680893	0.29815518856048584	0.855	0.6095	0.7117	0.4041522443294525	0.7807	0.501	0.6103
29	14:23:33	0	0.0250	0.3155104960655085	0.2878507077693939	0.8357	0.606	0.7026	0.374758780002594	0.8049	0.5121	0.626
30	14:28:11	1	0.0250	0.3201510691710323	0.2842337489128113	0.875	0.6007	0.7124	0.3663378357887268	0.8256	0.4899	0.6149
31	14:32:52	0	0.0250	0.309859325072402	0.28519895672798157	0.8361	0.6165	0.7097	0.37184178829193115	0.7944	0.5166	0.6261
32	14:37:27	1	0.0250	0.31252434105619376	0.2860530614852905	0.8847	0.5779	0.6991	0.3814907968044281	0.8372	0.4884	0.6169
33	14:42:06	2	0.0250	0.3086933609877035	0.2891126573085785	0.8415	0.6042	0.7034	0.3907926380634308	0.792	0.507	0.6182
34	14:46:42	3	0.0250	0.30366524497530323	0.29122310876846313	0.855	0.6095	0.7117
